  Residual norms for solver_ solve.
  0 KSP Residual norm 5.852305666631e-01 
  1 KSP Residual norm 5.005291247446e-03 
  2 KSP Residual norm 2.456960670563e-03 
  3 KSP Residual norm 7.689018675663e-04 
  4 KSP Residual norm 4.334545070923e-04 
  5 KSP Residual norm 4.330602497364e-04 
  6 KSP Residual norm 1.908867649081e-04 
  7 KSP Residual norm 8.145735370116e-05 
  8 KSP Residual norm 4.456215963435e-05 
  9 KSP Residual norm 2.452767427096e-05 
 10 KSP Residual norm 2.450757127074e-05 
 11 KSP Residual norm 1.564965301831e-05 
 12 KSP Residual norm 7.653783020202e-06 
 13 KSP Residual norm 4.541010643992e-06 
 14 KSP Residual norm 2.751658170374e-06 
 15 KSP Residual norm 2.748190659687e-06 
 16 KSP Residual norm 1.716408746190e-06 
 17 KSP Residual norm 1.137859595019e-06 
 18 KSP Residual norm 6.593663097374e-07 
 19 KSP Residual norm 3.908700356372e-07 
 20 KSP Residual norm 3.872917186240e-07 
 21 KSP Residual norm 2.128233793571e-07 
 22 KSP Residual norm 1.159664322920e-07 
 23 KSP Residual norm 4.398753250356e-08 
 24 KSP Residual norm 1.889316565415e-08 
 25 KSP Residual norm 1.758866793562e-08 
 26 KSP Residual norm 9.043255306826e-09 
 27 KSP Residual norm 3.638990750773e-09 
 28 KSP Residual norm 1.547846633524e-09 
 29 KSP Residual norm 7.153934703133e-10 
 30 KSP Residual norm 6.031210548396e-10 
 31 KSP Residual norm 3.220238366149e-10 
 32 KSP Residual norm 1.883822952453e-10 
 33 KSP Residual norm 1.257056429241e-10 
 34 KSP Residual norm 7.743687189795e-11 
