  Residual norms for solver_ solve.
  0 KSP Residual norm 4.062199179244e-01 
  1 KSP Residual norm 1.263955862797e-03 
  2 KSP Residual norm 6.219665907841e-04 
  3 KSP Residual norm 2.084863462284e-04 
  4 KSP Residual norm 2.084643441845e-04 
  5 KSP Residual norm 1.175380826758e-04 
  6 KSP Residual norm 5.522624305047e-05 
  7 KSP Residual norm 2.409390728108e-05 
  8 KSP Residual norm 2.408030424200e-05 
  9 KSP Residual norm 1.424246036882e-05 
 10 KSP Residual norm 7.992334006772e-06 
 11 KSP Residual norm 4.737301708650e-06 
 12 KSP Residual norm 4.724263326913e-06 
 13 KSP Residual norm 2.548089600887e-06 
 14 KSP Residual norm 1.261648621555e-06 
 15 KSP Residual norm 7.606298516073e-07 
 16 KSP Residual norm 7.542430191852e-07 
 17 KSP Residual norm 4.334825142134e-07 
 18 KSP Residual norm 2.780219357390e-07 
 19 KSP Residual norm 1.831295660231e-07 
 20 KSP Residual norm 1.797176197166e-07 
 21 KSP Residual norm 1.025294025320e-07 
 22 KSP Residual norm 6.686940345562e-08 
 23 KSP Residual norm 4.459856125388e-08 
 24 KSP Residual norm 4.007955797306e-08 
 25 KSP Residual norm 2.095561560374e-08 
 26 KSP Residual norm 1.128776938103e-08 
 27 KSP Residual norm 8.592012581341e-09 
 28 KSP Residual norm 5.562116821057e-09 
 29 KSP Residual norm 2.560564397595e-09 
 30 KSP Residual norm 1.145577524528e-09 
 31 KSP Residual norm 1.061302385707e-09 
 32 KSP Residual norm 5.467481064049e-10 
 33 KSP Residual norm 2.527293338401e-10 
 34 KSP Residual norm 1.204761273479e-10 
 35 KSP Residual norm 1.188870850199e-10 
 36 KSP Residual norm 4.498700472320e-11 
